name,n_features,ats,early_ats,late_ats,conf_ats,n_games
Kitchen Sink,8,0.5495118549511855,0.5611510791366906,0.5428571428571428,0.556935817805383,717
Full Offense,5,0.5285913528591353,0.4892086330935252,0.5342857142857143,0.5507246376811594,717
Efficiency,3,0.5244072524407253,0.5251798561151079,0.5114285714285715,0.5320910973084886,717
Points + Turnovers,3,0.5201037613488976,0.5144508670520231,0.5010869565217392,0.5243816254416961,2313
Yards Only,3,0.5153480328577604,0.4884393063583815,0.5119565217391304,0.5293286219081272,2313
Core Points,2,0.5136186770428015,0.5043352601156069,0.48695652173913045,0.5272084805653711,2313
Points + Yards,3,0.5105923043666234,0.49277456647398843,0.4967391304347826,0.5222614840989399,2313
Ball Control,3,0.5062761506276151,0.539568345323741,0.4857142857142857,0.5093167701863354,717
Drives,4,0.49511854951185497,0.4892086330935252,0.5085714285714286,0.4968944099378882,717
