name,n_features,ats,early_ats,late_ats,n_games
Yards Only,3,0.5146341463414634,0.5625,0.509009009009009,410
Drives,4,0.5097560975609756,0.53125,0.5315315315315315,410
Ball Control,3,0.5,0.546875,0.5,410
Core Points,2,0.4975609756097561,0.5,0.5,410
Efficiency,3,0.4902439024390244,0.546875,0.4954954954954955,410
Full Offense,5,0.4902439024390244,0.5625,0.481981981981982,410
Points + Yards,3,0.4878048780487805,0.515625,0.4954954954954955,410
Points + Turnovers,3,0.48292682926829267,0.5,0.4954954954954955,410
Kitchen Sink,8,0.48048780487804876,0.515625,0.481981981981982,410
